transaction_id,customer_id,customer_name,age,gender,city,region,category,product_name,quantity,unit_price,discount_pct,total_amount,payment_method,order_date,order_status,store_id,sales_rep,rating
TXN-111802,CUST-23520,Customer_87218,22,Other,Nelspruit,Mpumalanga,Food & Beverage,Coffee Beans,3,186.61,0.0,559.83,Cash,2023-12-04,Pending,STR-018,Rep_163,4.0
TXN-173320,CUST-21789,Customer_49866,58,,Cape Town,Western Cape,Food & Beverage,Olive Oil,1,130.87,0.15,234.2,Credit Card,2023-11-17,Completed,STR-049,Rep_101,N/A
TXN-151222,CUST-14747,Customer_82633,31,Male,Polokwane,Limpopo,sports,Yoga Mat,5,414.4,0.0,2072.0,,2022-10-16,Completed,STR-008,Rep_087,3.1
TXN-124568,CUST-03980,Customer_73836,51,Female,Durban,KwaZulu-Natal,TOYS,RC Car,5,942.44,0.0,4712.2,EFT,2023-11-27,Completed,STR-042,Rep_109,
TXN-103388,CUST-17023,Customer_46426,58,Female,Pretoria,Gauteng,Health & Beauty,Moisturiser,2,237.52,0.05,451.29,Debit Card,2024-04-05,Completed,STR-017,Rep_182,
TXN-114763,CUST-28038,Customer_31228,66,Male,Port Elizabeth,Eastern Cape,Toys,Board Game,3,296.16,0.0,888.48,Mobile Pay,2023-02-15,Returned,STR-022,Rep_196,
TXN-133111,CUST-18026,Customer_23317,37,Female,Bloemfontein,Free State,Health & Beauty,Electric Toothbrush,3,482.46,0.0,1447.38,Mobile Pay,2022-04-26,Returned,STR-037,Rep_088,1.2
TXN-133993,CUST-14176,Customer_6756,56,Male,Pretoria,Gauteng,Sports,Tennis Racket,4,624.72,0.0,2498.88,Credit Card,2023-01-06,Returned,STR-033,Rep_161,4.4
TXN-165439,CUST-24231,Customer_48640,63,Male,Pretoria,Gauteng,HOME & GARDEN,Garden Chair  ,4,892.36,0.0,3569.44,Mobile Pay,25/10/2023,Cancelled,STR-016,Rep_075,1.0
TXN-172409,CUST-01303,Customer_30021,37,Female,Bloemfontein,Free State,Toys,RC Car,4,918.98,0.0,3675.92,Credit Card,2024-04-13,Completed,STR-038,,4.7
TXN-173827,CUST-29275,Customer_82078,999,Female,Pretoria,Eastern Cape,Health & Beauty,Vitamins,3,195.05,0.05,555.89,Mobile Pay,2024-05-30,Completed,STR-006,Rep_105,2.1
TXN-125797,CUST-20102,,56,Other,Nelspruit,Mpumalanga,Electronics,Smart TV,1,9808.85,0.0,9808.85,eft,2024-09-18,Completed,STR-022,Rep_048,3.7
TXN-127215,CUST-14525,Customer_93691,45,Female,Johannesburg,Gauteng,Home & Garden,Lamp,3,567.48,0.0,1702.44,EFT,2024-12-16,Completed,STR-023,Rep_136,2.8
TXN-101551,CUST-01427,Customer_85426,,male,Cape Town,Western Cape,Home & Garden,Garden Chair,5,908.13,0.1,4086.58,Mobile Pay,2024-05-27,Pending,STR-036,Rep_016,1.3
TXN-138018,CUST-06145,Customer_88356,66,Other,Johannesburg,,Sports,Dumbbell Set,2,761.35,0.0,1522.7,Mobile Pay,2024-04-12,Completed,STR-035,Rep_029,4.8
TXN-152482,CUST-06022,Customer_16540,65,Male,Bloemfontein,Free State,Health & Beauty,Electric Toothbrush,1,478.51,0.2,382.81,EFT,2024-10-16,Completed,STR-016,Rep_100,2.1
TXN-162075,CUST-12131,Customer_11998,69,Male,Polokwane,Limpopo,Food & Beverage,Olive Oil,1,130.44,0.0,130.44,Credit Card,2022-04-27,Completed,STR-031,Rep_155,4.7
TXN-141913,CUST-05741,Customer_97391,58,Female,Kimberley,Northern Cape,Health & Beauty,Electric Toothbrush,3,510.64,0.2,1225.54,EFT,2024-04-12,Completed,STR-032,,3.6
TXN-138710,CUST-21221,Customer_92128,60,Male,Kimberley,Northern Cape,Electronics,Camera,5,6860.52,0.0,34302.6,Credit Card,2023-06-15,Pending,STR-020,Rep_036,2.1
TXN-150799,CUST-02974,Customer_35473,44,Other,  Johannesburg  ,Gauteng,Food & Beverage,Energy Drink,4,30.4,0.15,103.36,Credit Card,2024-02-16,Completed,STR-007,Rep_060,1.3
